run	request_id	opcode	peer	batch_size	data_bytes	status	request_queue_us	metadata_prepare_us	taskworker_prepare_us	poller_queue_us	data_transfer_us	metadata_settle_us	response_slot_wait_us	response_submit_us	response_transfer_us	data_tm_to_hixl_execute_async_us	data_tm_to_hixl_query_handle_us	response_tm_to_hixl_execute_async_us	response_tm_to_hixl_query_handle_us	total_us
stress_b32_run01	18	2	127.0.0.1:4501	108	7962624	SUCCESS	6840	37	197	2423	6826	6	1	98	2130	13	5	5	4	16097
stress_b32_run01	19	2	127.0.0.1:4501	108	7962624	SUCCESS	7027	35	197	2225	6773	7	1	98	2023	10	5	5	4	16126
stress_b32_run01	20	2	127.0.0.1:4501	108	7962624	SUCCESS	7195	37	223	2001	6695	7	1	95	1919	14	5	6	5	16136
stress_b32_run01	21	2	127.0.0.1:4501	108	7962624	SUCCESS	7411	34	255	1744	6579	7	1	100	1818	9	5	5	4	16170
stress_b32_run01	22	2	127.0.0.1:4501	108	7962624	SUCCESS	7645	34	244	1498	6480	6	1	94	1717	26	5	4	4	16188
stress_b32_run01	23	2	127.0.0.1:4501	108	7962624	SUCCESS	7886	37	231	1267	6389	7	0	95	1618	9	5	5	4	16225
stress_b32_run01	24	2	127.0.0.1:4501	108	7962624	SUCCESS	8082	16	235	1030	6291	7	0	98	1518	14	5	5	4	16230
stress_b32_run01	25	2	127.0.0.1:4501	108	7962624	SUCCESS	8313	34	196	832	6240	7	0	98	1411	9	5	5	4	16264
stress_b32_run01	26	2	127.0.0.1:4501	108	7962624	SUCCESS	8504	34	199	631	6183	7	1	92	1315	17	5	4	4	16301
stress_b32_run01	27	2	127.0.0.1:4501	108	7962624	SUCCESS	8700	34	187	443	6135	7	0	95	1221	15	5	5	4	16344
stress_b32_run01	28	2	127.0.0.1:4501	108	7962624	SUCCESS	8881	34	230	212	6049	6	1	97	1112	8	5	5	5	16376
stress_b32_run01	29	2	127.0.0.1:4501	108	7962624	SUCCESS	9109	17	213	5938	7093	7	1	100	477	13	4	4	5	16999
stress_b32_run01	30	2	127.0.0.1:4501	108	7962624	SUCCESS	9317	33	181	5756	7064	7	0	98	373	9	5	6	4	17039
stress_b32_run01	31	2	127.0.0.1:4501	108	7962624	SUCCESS	9492	17	173	5582	7037	7	0	98	267	8	5	5	4	17074
stress_b32_run01	32	2	127.0.0.1:4501	108	7962624	SUCCESS	9658	16	169	5412	7009	7	0	97	170	8	5	4	4	17110
stress_b32_run01	33	0	127.0.0.1:4500	2	0	SUCCESS	92	1	6	142	0	0	145	349	61	0	0	20	8	654
stress_b32_run01	34	0	127.0.0.1:4500	2	0	SUCCESS	113	1	2	105	0	0	107	130	84	0	0	7	6	436
stress_b32_run01	35	0	127.0.0.1:4500	2	0	SUCCESS	109	1	2	19	0	0	21	114	46	0	0	6	6	291
stress_b32_run01	36	0	127.0.0.1:4500	2	0	SUCCESS	95	1	2	31	0	0	33	115	48	0	0	7	6	292
stress_b32_run01	37	0	127.0.0.1:4500	2	0	SUCCESS	82	1	2	46	0	0	48	112	42	0	0	6	6	286
stress_b32_run01	38	0	127.0.0.1:4500	2	0	SUCCESS	80	0	2	55	0	0	57	110	41	0	0	7	6	290
