bucket	run	request_id	opcode	peer	stage	value_us
ge_1000	stress_b32_run01	21	2	127.0.0.1:4502	poller_queue_us	1880
ge_1000	stress_b32_run01	21	2	127.0.0.1:4502	data_transfer_us	5405
ge_1000	stress_b32_run01	21	2	127.0.0.1:4502	response_transfer_us	3801
ge_1000	stress_b32_run01	21	2	127.0.0.1:4502	total_us	15534
ge_1000	stress_b32_run01	22	2	127.0.0.1:4502	request_queue_us	6158
ge_1000	stress_b32_run01	22	2	127.0.0.1:4502	poller_queue_us	1708
ge_1000	stress_b32_run01	22	2	127.0.0.1:4502	data_transfer_us	5473
ge_1000	stress_b32_run01	22	2	127.0.0.1:4502	response_transfer_us	3637
ge_1000	stress_b32_run01	22	2	127.0.0.1:4502	total_us	15601
ge_1000	stress_b32_run01	23	2	127.0.0.1:4502	request_queue_us	6326
ge_1000	stress_b32_run01	23	2	127.0.0.1:4502	poller_queue_us	1474
ge_1000	stress_b32_run01	23	2	127.0.0.1:4502	data_transfer_us	5471
ge_1000	stress_b32_run01	23	2	127.0.0.1:4502	response_transfer_us	3474
ge_1000	stress_b32_run01	23	2	127.0.0.1:4502	total_us	15669
ge_1000	stress_b32_run01	24	2	127.0.0.1:4502	request_queue_us	6558
ge_1000	stress_b32_run01	24	2	127.0.0.1:4502	poller_queue_us	1299
ge_1000	stress_b32_run01	24	2	127.0.0.1:4502	data_transfer_us	5554
ge_1000	stress_b32_run01	24	2	127.0.0.1:4502	response_transfer_us	3291
ge_1000	stress_b32_run01	24	2	127.0.0.1:4502	total_us	15740
ge_1000	stress_b32_run01	25	2	127.0.0.1:4502	request_queue_us	6730
ge_1000	stress_b32_run01	25	2	127.0.0.1:4502	poller_queue_us	1078
ge_1000	stress_b32_run01	25	2	127.0.0.1:4502	data_transfer_us	5576
ge_1000	stress_b32_run01	25	2	127.0.0.1:4502	response_transfer_us	3116
ge_1000	stress_b32_run01	25	2	127.0.0.1:4502	total_us	15812
ge_1000	stress_b32_run01	26	2	127.0.0.1:4502	request_queue_us	6947
near_1000_800_999	stress_b32_run01	26	2	127.0.0.1:4502	poller_queue_us	903
ge_1000	stress_b32_run01	26	2	127.0.0.1:4502	data_transfer_us	5674
ge_1000	stress_b32_run01	26	2	127.0.0.1:4502	response_transfer_us	2875
ge_1000	stress_b32_run01	26	2	127.0.0.1:4502	total_us	15879
ge_1000	stress_b32_run01	27	2	127.0.0.1:4502	request_queue_us	7119
around_500_400_799	stress_b32_run01	27	2	127.0.0.1:4502	poller_queue_us	686
ge_1000	stress_b32_run01	27	2	127.0.0.1:4502	data_transfer_us	5740
ge_1000	stress_b32_run01	27	2	127.0.0.1:4502	response_transfer_us	2688
ge_1000	stress_b32_run01	27	2	127.0.0.1:4502	total_us	15944
ge_1000	stress_b32_run01	28	2	127.0.0.1:4502	request_queue_us	7334
around_500_400_799	stress_b32_run01	28	2	127.0.0.1:4502	poller_queue_us	512
ge_1000	stress_b32_run01	28	2	127.0.0.1:4502	data_transfer_us	5813
ge_1000	stress_b32_run01	28	2	127.0.0.1:4502	response_transfer_us	2533
ge_1000	stress_b32_run01	28	2	127.0.0.1:4502	total_us	16016
ge_1000	stress_b32_run01	29	2	127.0.0.1:4502	request_queue_us	7506
ge_1000	stress_b32_run01	29	2	127.0.0.1:4502	data_transfer_us	5824
ge_1000	stress_b32_run01	29	2	127.0.0.1:4502	response_transfer_us	2370
ge_1000	stress_b32_run01	29	2	127.0.0.1:4502	total_us	16087
ge_1000	stress_b32_run01	30	2	127.0.0.1:4502	request_queue_us	7722
ge_1000	stress_b32_run01	30	2	127.0.0.1:4502	data_transfer_us	5916
ge_1000	stress_b32_run01	30	2	127.0.0.1:4502	response_transfer_us	2132
ge_1000	stress_b32_run01	30	2	127.0.0.1:4502	total_us	16151
ge_1000	stress_b32_run01	3	2	127.0.0.1:4501	request_queue_us	3803
ge_1000	stress_b32_run01	3	2	127.0.0.1:4501	poller_queue_us	5804
ge_1000	stress_b32_run01	3	2	127.0.0.1:4501	data_transfer_us	7995
ge_1000	stress_b32_run01	3	2	127.0.0.1:4501	response_transfer_us	3679
ge_1000	stress_b32_run01	3	2	127.0.0.1:4501	total_us	15898
ge_1000	stress_b32_run01	4	2	127.0.0.1:4501	request_queue_us	4058
ge_1000	stress_b32_run01	4	2	127.0.0.1:4501	poller_queue_us	5609
ge_1000	stress_b32_run01	4	2	127.0.0.1:4501	data_transfer_us	7959
ge_1000	stress_b32_run01	4	2	127.0.0.1:4501	response_transfer_us	3577
ge_1000	stress_b32_run01	4	2	127.0.0.1:4501	total_us	15894
ge_1000	stress_b32_run01	5	2	127.0.0.1:4501	request_queue_us	4252
ge_1000	stress_b32_run01	5	2	127.0.0.1:4501	poller_queue_us	5406
ge_1000	stress_b32_run01	5	2	127.0.0.1:4501	data_transfer_us	7901
ge_1000	stress_b32_run01	5	2	127.0.0.1:4501	response_transfer_us	3487
ge_1000	stress_b32_run01	5	2	127.0.0.1:4501	total_us	15941
ge_1000	stress_b32_run01	6	2	127.0.0.1:4501	request_queue_us	4453
ge_1000	stress_b32_run01	6	2	127.0.0.1:4501	poller_queue_us	5214
ge_1000	stress_b32_run01	6	2	127.0.0.1:4501	data_transfer_us	7850
ge_1000	stress_b32_run01	6	2	127.0.0.1:4501	response_transfer_us	3390
ge_1000	stress_b32_run01	6	2	127.0.0.1:4501	total_us	15984
ge_1000	stress_b32_run01	7	2	127.0.0.1:4501	request_queue_us	4591
