[2026-08-24 19:21:34.068818][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242444955 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068827][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242444963 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068830][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242444967 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068833][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242444970 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068835][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242444972 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068838][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242444975 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068840][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242444977 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068843][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242444980 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068845][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242444982 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068848][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242444985 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068851][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242444988 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.068858][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242444994 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068866][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242445003 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068872][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242445008 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068874][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242445011 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068877][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242445014 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068879][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242445016 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068882][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242445019 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068885][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242445021 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068887][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242445024 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068890][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242445026 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068892][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242445029 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.068904][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242445041 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068914][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242445050 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068917][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242445054 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068920][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242445057 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068923][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242445059 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068925][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242445062 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068928][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242445065 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068936][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242445073 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068942][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242445079 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068946][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242445083 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068949][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242445085 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.068955][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242445092 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.068964][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242445101 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.068968][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242445105 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.068970][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242445107 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.068973][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242445110 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.068977][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242445114 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.068980][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242445117 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.068983][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242445120 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.068985][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242445122 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.068989][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242445125 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.068992][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242445129 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.069000][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242445136 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.069010][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242445146 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.069014][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242445151 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.069018][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242445154 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.069020][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242445157 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.069023][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242445160 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.069034][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242445171 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.069038][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242445175 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.069043][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242445179 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.069047][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242445183 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.069049][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242445186 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.069056][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242445192 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.069066][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242445203 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.069071][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242445208 [878,891][hixl_transport.cpp:740,GetStatus]
[2026-08-24 19:21:34.069076][UC][I] [METRIC DEBUG] TransportManager GetStatus get task status:2359242445212 [878,891][transport_manager.cpp:721,GetStatus]
[2026-08-24 19:21:34.069079][UC][I] [METRIC DEBUG] TransportManager GetStatus return:2359242445216 [878,891][transport_manager.cpp:746,GetStatus]
[2026-08-24 19:21:34.069084][UC][I] [METRIC DEBUG] TransportManager GetStatus START:2359242445221 [878,891][transport_manager.cpp:706,GetStatus]
[2026-08-24 19:21:34.069087][UC][I] [METRIC DEBUG] TransportManager GetStatus get record:2359242445224 [878,891][transport_manager.cpp:718,GetStatus]
[2026-08-24 19:21:34.069092][UC][I] [METRIC DEBUG] HIXL transport GetStatus START:2359242445228 [878,891][hixl_transport.cpp:701,GetStatus]
[2026-08-24 19:21:34.069095][UC][I] [METRIC DEBUG] HIXL transport GetStatus get lifecycle_lock:2359242445232 [878,891][hixl_transport.cpp:709,GetStatus]
[2026-08-24 19:21:34.069098][UC][I] [METRIC DEBUG] HIXL transport GetStatus get pending_mutex_:2359242445235 [878,891][hixl_transport.cpp:721,GetStatus]
[2026-08-24 19:21:34.069100][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus START:2359242445237 [878,891][hixl_instance.cpp:326,GetTransferStatus]
[2026-08-24 19:21:34.069107][UC][I] [METRIC DEBUG] HIXL instance GetTransferStatus RUN:2359242445244 [878,916][hixl_instance.cpp:331,operator()]
[2026-08-24 19:21:34.069117][UC][I] [METRIC DEBUG] HIXL transport GetStatus get task status:2359242445254 [878,891][hixl_transport.cpp:725,GetStatus]
[2026-08-24 19:21:34.069122][UC][I] [METRIC DEBUG] HIXL transport GetStatus return:2359242445258 [878,891][hixl_transport.cpp:740,GetStatus]
